title,start_at,end_at,color,user_id
Project Kickoff,2026-03-02T09:00:00-06:00,2026-03-02T10:30:00-06:00,blue,00000000-0000-0000-0000-000000000000
Gym Session,2026-03-02T17:00:00-06:00,2026-03-02T18:30:00-06:00,green,00000000-0000-0000-0000-000000000000
WCLC Team Sync,2026-03-03T10:00:00-06:00,2026-03-03T11:00:00-06:00,purple,00000000-0000-0000-0000-000000000000
Deep Work Block,2026-03-04T13:00:00-06:00,2026-03-04T16:00:00-06:00,orange,00000000-0000-0000-0000-000000000000
Dentist Appointment,2026-03-05T08:30:00-06:00,2026-03-05T09:30:00-06:00,red,00000000-0000-0000-0000-000000000000
Hackathon Weekend,2026-03-06T18:00:00-06:00,2026-03-08T20:00:00-06:00,indigo,00000000-0000-0000-0000-000000000000
Lunch with Edward,2026-03-10T12:00:00-06:00,2026-03-10T13:00:00-06:00,pink,00000000-0000-0000-0000-000000000000
Code Review,2026-03-10T12:30:00-06:00,2026-03-10T13:30:00-06:00,blue,00000000-0000-0000-0000-000000000000
Intro to Algorithms,2026-09-01T09:00:00-05:00,2026-09-01T10:15:00-05:00,blue,00000000-0000-0000-0000-000000000000
WCLC Team Sync,2026-09-01T11:00:00-05:00,2026-09-01T12:00:00-05:00,purple,00000000-0000-0000-0000-000000000000
Gym Session,2026-09-01T17:30:00-05:00,2026-09-01T19:00:00-05:00,green,00000000-0000-0000-0000-000000000000
Data Structures Lab,2026-09-02T13:00:00-05:00,2026-09-02T15:00:00-05:00,blue,00000000-0000-0000-0000-000000000000
Coffee with Priya,2026-09-02T15:30:00-05:00,2026-09-02T16:30:00-05:00,pink,00000000-0000-0000-0000-000000000000
Software Engineering Lecture,2026-09-03T09:30:00-05:00,2026-09-03T10:45:00-05:00,indigo,00000000-0000-0000-0000-000000000000
Study Group – Algorithms,2026-09-03T14:00:00-05:00,2026-09-03T16:00:00-05:00,blue,00000000-0000-0000-0000-000000000000
Office Hours – Prof. Chen,2026-09-04T10:00:00-05:00,2026-09-04T11:00:00-05:00,orange,00000000-0000-0000-0000-000000000000
Gym Session,2026-09-04T17:00:00-05:00,2026-09-04T18:30:00-05:00,green,00000000-0000-0000-0000-000000000000
Intro to Algorithms,2026-09-05T09:00:00-05:00,2026-09-05T10:15:00-05:00,blue,00000000-0000-0000-0000-000000000000
Project Brainstorm,2026-09-05T13:00:00-05:00,2026-09-05T14:30:00-05:00,purple,00000000-0000-0000-0000-000000000000
Hackathon Planning,2026-09-06T14:00:00-05:00,2026-09-06T16:00:00-05:00,indigo,00000000-0000-0000-0000-000000000000
Research Paper Review,2026-09-07T10:00:00-05:00,2026-09-07T12:00:00-05:00,orange,00000000-0000-0000-0000-000000000000
Intro to Algorithms,2026-09-08T09:00:00-05:00,2026-09-08T10:15:00-05:00,blue,00000000-0000-0000-0000-000000000000
